file_name,title,display_id,upload_date,view_count,like_count,dislike_count,average_rating,creator,artist
Nine Inch Nails - Closer (Director's Cut)-PTFwQP86BRs.mp3,Nine Inch Nails - Closer (Director's Cut),PTFwQP86BRs,20090616,17915710,175479,7672,4.83204031,Nine Inch Nails,Nine Inch Nails
Nirvana - Smells Like Teen Spirit-hTWKbfoikeg.mp3,Nirvana - Smells Like Teen Spirit,hTWKbfoikeg,20090616,777171223,4236800,134458,4.876572609,Nirvana,Nirvana
2Pac - Ambitionz az a ridah [HD]-cQZqPi1aHNo.mp3,2Pac - Ambitionz az a ridah [HD],cQZqPi1aHNo,20111119,23076070,164709,7815,4.818744183,2Pac,2Pac
Rihanna Love On the Brain | Live at Global Citizen Festival 2016-yXvyJDqqQec.mp3,Rihanna Love On the Brain | Live at Global Citizen Festival 2016,yXvyJDqqQec,20160924,50996757,281117,13519,4.816500664,,
Britney Spears - Toxic (Official Video)-LOZuxwVk7TU.mp3,Britney Spears - Toxic (Official Video),LOZuxwVk7TU,20091025,341469393,1465411,69032,4.819543839,Britney Spears,Britney Spears
"Jennifer Lopez - Dinero ft. DJ Khaled, Cardi B-aEM2kOrrNJI.mp3","Jennifer Lopez - Dinero ft. DJ Khaled, Cardi B",aEM2kOrrNJI,20180524,70645633,689957,61358,4.670042992,Jennifer Lopez,Jennifer Lopez
Katy Perry - I Kissed A Girl (Official)-tAp9BKosZXs.mp3,Katy Perry - I Kissed A Girl (Official),tAp9BKosZXs,20080610,149700608,909109,51631,4.784664154,Katy Perry,Katy Perry
P!nk - What About Us (Lyric Video)-987xHnVfRI4.mp3,P!nk - What About Us (Lyric Video),987xHnVfRI4,20170810,37698570,327788,11605,4.863235474,Pink,Pink
The Black Eyed Peas - Where Is The Love?-WpYeekQkAdc.mp3,The Black Eyed Peas - Where Is The Love?,WpYeekQkAdc,20090616,366059516,1863872,50640,4.893831253,The Black Eyed Peas,The Black Eyed Peas
Sparks-4BCMhuG7pUk.mp3,Sparks,4BCMhuG7pUk,20150408,37486,657,63,4.650000095,,
Fergie - Fergalicious-5T0utQ-XWGY.mp3,Fergie - Fergalicious,5T0utQ-XWGY,20090616,151573864,740660,34716,4.820477009,,
